1   0.001     2.5 -0.301E+03  0.602E+03
2   0.001     2.5 -0.277E+03  0.554E+03
3   0.001     2.5 -0.218E+03  0.437E+03
1   0.002     2.5 -0.149E+03  0.298E+03
2   0.002     2.5 -0.124E+03  0.248E+03
3   0.002     2.5 -0.100E+03  0.200E+03
1   0.003     2.5 -0.964E+02  0.193E+03
2   0.003     2.5 -0.777E+02  0.155E+03
3   0.003     2.5 -0.640E+02  0.128E+03
1   0.004     2.5 -0.711E+02  0.142E+03
2   0.004     2.5 -0.560E+02  0.112E+03
3   0.004     2.5 -0.469E+02  0.937E+02
1   0.005     2.5 -0.561E+02  0.112E+03
2   0.005     2.5 -0.435E+02  0.871E+02
3   0.005     2.5 -0.369E+02  0.738E+02
1   0.006     2.5 -0.464E+02  0.927E+02
2   0.006     2.5 -0.355E+02  0.710E+02
3   0.006     2.5 -0.304E+02  0.609E+02
1   0.007     2.5 -0.394E+02  0.789E+02
2   0.007     2.5 -0.299E+02  0.598E+02
3   0.007     2.5 -0.259E+02  0.518E+02
1   0.008     2.5 -0.343E+02  0.686E+02
2   0.008     2.5 -0.258E+02  0.517E+02
3   0.008     2.5 -0.226E+02  0.451E+02
1   0.009     2.5 -0.304E+02  0.608E+02
2   0.009     2.5 -0.227E+02  0.454E+02
3   0.009     2.5 -0.200E+02  0.400E+02
1   0.010     2.5 -0.272E+02  0.544E+02
2   0.010     2.5 -0.203E+02  0.405E+02
3   0.010     2.5 -0.179E+02  0.359E+02
1   0.011     2.5 -0.247E+02  0.495E+02
2   0.011     2.5 -0.183E+02  0.365E+02
3   0.011     2.5 -0.163E+02  0.326E+02
1   0.012     2.5 -0.226E+02  0.452E+02
2   0.012     2.5 -0.166E+02  0.333E+02
3   0.012     2.5 -0.149E+02  0.298E+02
1   0.013     2.5 -0.208E+02  0.417E+02
2   0.013     2.5 -0.153E+02  0.306E+02
3   0.013     2.5 -0.138E+02  0.275E+02
1   0.014     2.5 -0.193E+02  0.387E+02
2   0.014     2.5 -0.141E+02  0.283E+02
3   0.014     2.5 -0.128E+02  0.256E+02
1   0.015     2.5 -0.180E+02  0.360E+02
2   0.015     2.5 -0.131E+02  0.263E+02
3   0.015     2.5 -0.119E+02  0.239E+02
1   0.016     2.5 -0.169E+02  0.338E+02
2   0.016     2.5 -0.123E+02  0.246E+02
3   0.016     2.5 -0.112E+02  0.224E+02
1   0.017     2.5 -0.159E+02  0.317E+02
2   0.017     2.5 -0.115E+02  0.231E+02
3   0.017     2.5 -0.106E+02  0.211E+02
1   0.018     2.5 -0.150E+02  0.299E+02
2   0.018     2.5 -0.109E+02  0.217E+02
3   0.018     2.5 -0.998E+01  0.200E+02
1   0.019     2.5 -0.142E+02  0.284E+02
2   0.019     2.5 -0.103E+02  0.206E+02
3   0.019     2.5 -0.946E+01  0.189E+02
1   0.020     2.5 -0.135E+02  0.269E+02
2   0.020     2.5 -0.975E+01  0.195E+02
3   0.020     2.5 -0.900E+01  0.180E+02
1   0.021     2.5 -0.128E+02  0.256E+02
2   0.021     2.5 -0.928E+01  0.186E+02
3   0.021     2.5 -0.859E+01  0.172E+02
1   0.022     2.5 -0.122E+02  0.244E+02
2   0.022     2.5 -0.885E+01  0.177E+02
3   0.022     2.5 -0.821E+01  0.164E+02
1   0.023     2.5 -0.117E+02  0.234E+02
2   0.023     2.5 -0.846E+01  0.169E+02
3   0.023     2.5 -0.786E+01  0.157E+02
1   0.024     2.5 -0.112E+02  0.224E+02
2   0.024     2.5 -0.811E+01  0.162E+02
3   0.024     2.5 -0.755E+01  0.151E+02
1   0.025     2.5 -0.108E+02  0.215E+02
2   0.025     2.5 -0.778E+01  0.156E+02
3   0.025     2.5 -0.726E+01  0.145E+02
1   0.026     2.5 -0.103E+02  0.207E+02
2   0.026     2.5 -0.748E+01  0.150E+02
3   0.026     2.5 -0.699E+01  0.140E+02
1   0.027     2.5 -0.995E+01  0.199E+02
2   0.027     2.5 -0.721E+01  0.144E+02
3   0.027     2.5 -0.674E+01  0.135E+02
1   0.028     2.5 -0.961E+01  0.192E+02
2   0.028     2.5 -0.695E+01  0.139E+02
3   0.028     2.5 -0.651E+01  0.130E+02
1   0.029     2.5 -0.928E+01  0.186E+02
2   0.029     2.5 -0.672E+01  0.134E+02
3   0.029     2.5 -0.630E+01  0.126E+02
1   0.030     2.5 -0.896E+01  0.179E+02
2   0.030     2.5 -0.650E+01  0.130E+02
3   0.030     2.5 -0.610E+01  0.122E+02
1   0.031     2.5 -0.867E+01  0.173E+02
2   0.031     2.5 -0.629E+01  0.126E+02
3   0.031     2.5 -0.591E+01  0.118E+02
1   0.032     2.5 -0.840E+01  0.168E+02
2   0.032     2.5 -0.610E+01  0.122E+02
3   0.032     2.5 -0.574E+01  0.115E+02
1   0.033     2.5 -0.815E+01  0.163E+02
2   0.033     2.5 -0.592E+01  0.118E+02
3   0.033     2.5 -0.558E+01  0.112E+02
1   0.034     2.5 -0.791E+01  0.158E+02
2   0.034     2.5 -0.575E+01  0.115E+02
3   0.034     2.5 -0.542E+01  0.108E+02
1   0.035     2.5 -0.769E+01  0.154E+02
2   0.035     2.5 -0.559E+01  0.112E+02
3   0.035     2.5 -0.528E+01  0.106E+02
1   0.036     2.5 -0.747E+01  0.149E+02
2   0.036     2.5 -0.544E+01  0.109E+02
3   0.036     2.5 -0.514E+01  0.103E+02
1   0.037     2.5 -0.726E+01  0.145E+02
2   0.037     2.5 -0.530E+01  0.106E+02
3   0.037     2.5 -0.501E+01  0.100E+02
1   0.038     2.5 -0.708E+01  0.142E+02
