     0.2500      3.9850      0.0012      0.0009
     0.3000      3.5422      0.0016      0.0012
     0.3500      3.1884      0.0020      0.0014
     0.4000      2.8949      0.0021      0.0016
     0.4500      2.6441      0.0020      0.0016
     0.5000      2.4249      0.0016      0.0013
     0.5500      2.2296      0.0008      0.0007
     0.6000      2.0527     -0.0008     -0.0006
     0.6500      1.8901     -0.0022     -0.0021
     0.7000      1.7387      0.0007      0.0012
     0.7500      1.5959     -0.0049     -0.0025
     0.8000      1.4596     -0.0134     -0.0089
     0.8500      1.3277     -0.0346     -0.0281
     0.9000      1.1983     -0.0563     -0.0487
     0.9500      1.0694     -0.1653     -0.1431
     1.0000      0.9383     -0.3655     -0.2954
     1.0500      0.8014     -0.4572     -0.3555
     1.1000      0.6525     -0.3215     -0.2633
     1.1500      0.4777     -0.0531     -0.1069
     1.2000      0.2168      0.2133      0.0614
