1   0.001     2.5  0.656E-03  0.239E-03  0.664E-04  0.553E-03  0.201E-03  0.434E-03  0.345E-03 -0.220E-03 -0.115E-02
2   0.001     2.5  0.656E-03  0.353E-04  0.981E-05  0.553E-03  0.298E-04  0.759E-03  0.514E-03 -0.354E-04 -0.185E-02
3   0.001     2.5  0.656E-03  0.338E-04  0.939E-05  0.553E-03  0.285E-04  0.580E-03  0.395E-03 -0.430E-04 -0.181E-02
1   0.002     2.5  0.106E-02  0.378E-03  0.105E-03  0.861E-03  0.306E-03  0.694E-03  0.547E-03 -0.352E-03 -0.183E-02
2   0.002     2.5  0.106E-02  0.732E-04  0.203E-04  0.861E-03  0.592E-04  0.102E-02  0.693E-03 -0.822E-04 -0.280E-02
3   0.002     2.5  0.106E-02  0.762E-04  0.212E-04  0.861E-03  0.616E-04  0.782E-03  0.539E-03 -0.106E-03 -0.269E-02
1   0.003     2.5  0.141E-02  0.498E-03  0.138E-03  0.111E-02  0.393E-03  0.847E-03  0.674E-03 -0.478E-03 -0.233E-02
2   0.003     2.5  0.141E-02  0.112E-03  0.311E-04  0.111E-02  0.885E-04  0.120E-02  0.824E-03 -0.134E-03 -0.354E-02
3   0.003     2.5  0.141E-02  0.122E-03  0.338E-04  0.111E-02  0.960E-04  0.927E-03  0.645E-03 -0.176E-03 -0.336E-02
1   0.004     2.5  0.172E-02  0.609E-03  0.169E-03  0.133E-02  0.473E-03  0.975E-03  0.781E-03 -0.595E-03 -0.275E-02
2   0.004     2.5  0.172E-02  0.152E-03  0.421E-04  0.133E-02  0.118E-03  0.134E-02  0.929E-03 -0.188E-03 -0.415E-02
3   0.004     2.5  0.172E-02  0.168E-03  0.467E-04  0.133E-02  0.131E-03  0.104E-02  0.732E-03 -0.249E-03 -0.390E-02
1   0.005     2.5  0.200E-02  0.712E-03  0.198E-03  0.153E-02  0.546E-03  0.108E-02  0.875E-03 -0.705E-03 -0.312E-02
2   0.005     2.5  0.200E-02  0.192E-03  0.534E-04  0.153E-02  0.147E-03  0.147E-02  0.102E-02 -0.245E-03 -0.468E-02
3   0.005     2.5  0.200E-02  0.216E-03  0.600E-04  0.153E-02  0.165E-03  0.114E-02  0.806E-03 -0.325E-03 -0.437E-02
1   0.006     2.5  0.226E-02  0.811E-03  0.225E-03  0.172E-02  0.615E-03  0.118E-02  0.958E-03 -0.810E-03 -0.345E-02
2   0.006     2.5  0.226E-02  0.233E-03  0.647E-04  0.172E-02  0.177E-03  0.157E-02  0.110E-02 -0.304E-03 -0.515E-02
3   0.006     2.5  0.226E-02  0.264E-03  0.733E-04  0.172E-02  0.200E-03  0.123E-02  0.873E-03 -0.401E-03 -0.478E-02
