* x   Q2    y   Events(N)  1/sqrt(N)    Sigma-bin  
* Sigma=246620.000000 (pb), Nevents=900188.000000 Lumi=10.000000(fb-1), Nev_ext=2466200000.000000 Coef =2739.649940 
 0.316228 	 421.696503 	 0.555634 	 224367 	 0.002111 	 22.436739 	 
 0.316228 	 749.894209 	 0.988072 	 54363 	 	 0.004289 	 5.436316 	 
 0.501187 	 42.169650 	 0.035058 	 109585 	 0.003021 	 10.958600 	 
 0.501187 	 74.989421 	 0.062343 	 816415 	 0.001107 	 81.641568 	 
 0.501187 	 133.352143 	 0.110864 	 376923 	 0.001629 	 37.692395 	 
 0.501187 	 237.137371 	 0.197146 	 175954 	 0.002384 	 17.595412 	 
 0.501187 	 421.696503 	 0.350581 	 80976 	 	 0.003514 	 8.097689 	 
 0.501187 	 749.894209 	 0.623432 	 42714 	 	 0.004839 	 4.271463 	 
 0.501187 	 1333.521432 	 0.950000 	 5005 	 	 0.014135 	 0.500515 	 
 0.794328 	 74.989421 	 0.039336 	 49313 	 	 0.004503 	 4.931370 	 
 0.794328 	 133.352143 	 0.069950 	 113319 	 0.002971 	 11.331940 	 
 0.794328 	 237.137371 	 0.124391 	 50795 	 	 0.004437 	 5.079523 	 
 0.794328 	 421.696503 	 0.221202 	 16412 	 	 0.007806 	 1.641247 	 
 0.794328 	 749.894209 	 0.393359 	 4311 	 	 0.015229 	 0.431167 	 
 0.794328 	 1333.521432 	 0.699502 	 1517 	 	 0.025670 	 0.151763 	 
 0.794328 	 2371.373706 	 0.950000 	 20 	 	 0.223044 	 0.002010 	 
