W2	Ee`	X	QL_A	IN_A	TOT_A	QL_D	IN_D	TOT_D	DGW2D	REL	Q2
1.1888	5.9522	0.7100	0.103E+02	0.500E+01	0.153E+02	0.324E+00	0.332E+00	0.655E+00	0.327E+00	0.334E+01	0.7552
1.1744	5.9594	0.7200	0.107E+02	0.455E+01	0.152E+02	0.365E+00	0.276E+00	0.642E+00	0.320E+00	0.339E+01	0.7562
1.1604	5.9664	0.7300	0.110E+02	0.424E+01	0.152E+02	0.412E+00	0.229E+00	0.641E+00	0.320E+00	0.339E+01	0.7570
1.1467	5.9732	0.7400	0.113E+02	0.402E+01	0.153E+02	0.472E+00	0.189E+00	0.661E+00	0.330E+00	0.331E+01	0.7579
1.1333	5.9799	0.7500	0.116E+02	0.367E+01	0.153E+02	0.533E+00	0.155E+00	0.688E+00	0.343E+00	0.317E+01	0.7588
1.1202	5.9864	0.7600	0.119E+02	0.313E+01	0.150E+02	0.602E+00	0.127E+00	0.729E+00	0.364E+00	0.294E+01	0.7596
1.1075	5.9928	0.7700	0.121E+02	0.292E+01	0.151E+02	0.686E+00	0.105E+00	0.791E+00	0.395E+00	0.272E+01	0.7604
1.0951	5.9990	0.7800	0.124E+02	0.239E+01	0.148E+02	0.780E+00	0.857E-01	0.866E+00	0.432E+00	0.244E+01	0.7612
1.0829	6.0050	0.7900	0.126E+02	0.215E+01	0.148E+02	0.888E+00	0.703E-01	0.958E+00	0.478E+00	0.220E+01	0.7619
1.0710	6.0110	0.8000	0.129E+02	0.183E+01	0.147E+02	0.101E+01	0.578E-01	0.107E+01	0.533E+00	0.197E+01	0.7627
1.0594	6.0167	0.8100	0.131E+02	0.163E+01	0.147E+02	0.115E+01	0.474E-01	0.119E+01	0.596E+00	0.176E+01	0.7634
1.0481	6.0224	0.8200	0.133E+02	0.151E+01	0.148E+02	0.130E+01	0.390E-01	0.134E+01	0.670E+00	0.158E+01	0.7642
1.0370	6.0279	0.8300	0.135E+02	0.135E+01	0.149E+02	0.149E+01	0.321E-01	0.152E+01	0.759E+00	0.140E+01	0.7649
1.0262	6.0333	0.8400	0.137E+02	0.126E+01	0.150E+02	0.171E+01	0.265E-01	0.174E+01	0.867E+00	0.123E+01	0.7655
1.0156	6.0386	0.8500	0.139E+02	0.107E+01	0.149E+02	0.193E+01	0.218E-01	0.195E+01	0.974E+00	0.109E+01	0.7662
1.0052	6.0438	0.8600	0.140E+02	0.983E+00	0.150E+02	0.221E+01	0.181E-01	0.223E+01	0.111E+01	0.961E+00	0.7669
0.9951	6.0489	0.8700	0.141E+02	0.870E+00	0.150E+02	0.250E+01	0.150E-01	0.252E+01	0.126E+01	0.850E+00	0.7675
0.9851	6.0538	0.8800	0.143E+02	0.807E+00	0.151E+02	0.284E+01	0.125E-01	0.285E+01	0.142E+01	0.754E+00	0.7681
0.9754	6.0587	0.8900	0.144E+02	0.640E+00	0.150E+02	0.323E+01	0.103E-01	0.324E+01	0.162E+01	0.661E+00	0.7688
0.9659	6.0635	0.9000	0.145E+02	0.577E+00	0.151E+02	0.366E+01	0.862E-02	0.367E+01	0.183E+01	0.587E+00	0.7694
0.9565	6.0681	0.9100	0.145E+02	0.490E+00	0.150E+02	0.411E+01	0.718E-02	0.411E+01	0.205E+01	0.522E+00	0.7700
0.9474	6.0727	0.9200	0.146E+02	0.427E+00	0.151E+02	0.460E+01	0.593E-02	0.461E+01	0.230E+01	0.467E+00	0.7705
0.9384	6.0772	0.9300	0.147E+02	0.366E+00	0.151E+02	0.509E+01	0.493E-02	0.510E+01	0.254E+01	0.423E+00	0.7711
0.9296	6.0815	0.9400	0.148E+02	0.327E+00	0.151E+02	0.564E+01	0.412E-02	0.565E+01	0.282E+01	0.382E+00	0.7717
0.9210	6.0858	0.9500	0.148E+02	0.276E+00	0.150E+02	0.613E+01	0.343E-02	0.614E+01	0.306E+01	0.350E+00	0.7722
0.9126	6.0901	0.9600	0.148E+02	0.238E+00	0.150E+02	0.655E+01	0.285E-02	0.655E+01	0.327E+01	0.327E+00	0.7727
0.9043	6.0942	0.9700	0.148E+02	0.198E+00	0.150E+02	0.693E+01	0.236E-02	0.693E+01	0.346E+01	0.309E+00	0.7733
0.8962	6.0982	0.9800	0.148E+02	0.164E+00	0.150E+02	0.722E+01	0.196E-02	0.722E+01	0.361E+01	0.296E+00	0.7738
0.8882	6.1022	0.9900	0.148E+02	0.147E+00	0.149E+02	0.739E+01	0.161E-02	0.739E+01	0.369E+01	0.288E+00	0.7743
0.8804	6.1061	1.0000	0.148E+02	0.112E+00	0.149E+02	0.742E+01	0.133E-02	0.742E+01	0.370E+01	0.287E+00	0.7748
0.8727	6.1100	1.0100	0.147E+02	0.987E-01	0.148E+02	0.735E+01	0.109E-02	0.735E+01	0.367E+01	0.288E+00	0.7753
0.8652	6.1137	1.0200	0.147E+02	0.000E+00	0.147E+02	0.710E+01	0.000E+00	0.710E+01	0.354E+01	0.296E+00	0.7757
0.8578	6.1174	1.0300	0.146E+02	0.000E+00	0.146E+02	0.680E+01	0.000E+00	0.680E+01	0.339E+01	0.308E+00	0.7762
0.8505	6.1210	1.0400	0.145E+02	0.000E+00	0.145E+02	0.644E+01	0.000E+00	0.644E+01	0.321E+01	0.323E+00	0.7767
0.8434	6.1246	1.0500	0.145E+02	0.000E+00	0.145E+02	0.596E+01	0.000E+00	0.596E+01	0.298E+01	0.347E+00	0.7771
0.8364	6.1281	1.0600	0.144E+02	0.000E+00	0.144E+02	0.552E+01	0.000E+00	0.552E+01	0.275E+01	0.372E+00	0.7776
0.8295	6.1315	1.0700	0.142E+02	0.000E+00	0.142E+02	0.511E+01	0.000E+00	0.511E+01	0.255E+01	0.398E+00	0.7780
0.8227	6.1349	1.0800	0.141E+02	0.000E+00	0.141E+02	0.464E+01	0.000E+00	0.464E+01	0.231E+01	0.436E+00	0.7784
0.8161	6.1382	1.0900	0.140E+02	0.000E+00	0.140E+02	0.423E+01	0.000E+00	0.423E+01	0.211E+01	0.473E+00	0.7788
0.8095	6.1415	1.1000	0.139E+02	0.000E+00	0.139E+02	0.384E+01	0.000E+00	0.384E+01	0.192E+01	0.518E+00	0.7793
0.8031	6.1447	1.1100	0.137E+02	0.000E+00	0.137E+02	0.347E+01	0.000E+00	0.347E+01	0.173E+01	0.566E+00	0.7797
0.7968	6.1478	1.1200	0.135E+02	0.000E+00	0.135E+02	0.316E+01	0.000E+00	0.316E+01	0.158E+01	0.612E+00	0.7801
0.7906	6.1509	1.1300	0.134E+02	0.000E+00	0.134E+02	0.288E+01	0.000E+00	0.288E+01	0.144E+01	0.666E+00	0.7805
0.7845	6.1540	1.1400	0.132E+02	0.000E+00	0.132E+02	0.258E+01	0.000E+00	0.258E+01	0.129E+01	0.732E+00	0.7808
0.7785	6.1570	1.1500	0.130E+02	0.000E+00	0.130E+02	0.232E+01	0.000E+00	0.232E+01	0.116E+01	0.799E+00	0.7812
0.7726	6.1599	1.1600	0.128E+02	0.000E+00	0.128E+02	0.212E+01	0.000E+00	0.212E+01	0.106E+01	0.860E+00	0.7816
0.7667	6.1628	1.1700	0.126E+02	0.000E+00	0.126E+02	0.192E+01	0.000E+00	0.192E+01	0.958E+00	0.936E+00	0.7820
0.7610	6.1657	1.1800	0.123E+02	0.000E+00	0.123E+02	0.175E+01	0.000E+00	0.175E+01	0.873E+00	0.101E+01	0.7823
0.7554	6.1685	1.1900	0.121E+02	0.000E+00	0.121E+02	0.160E+01	0.000E+00	0.160E+01	0.798E+00	0.108E+01	0.7827
0.7499	6.1713	1.2000	0.118E+02	0.000E+00	0.118E+02	0.146E+01	0.000E+00	0.146E+01	0.730E+00	0.116E+01	0.7830
0.7444	6.1740	1.2100	0.116E+02	0.000E+00	0.116E+02	0.132E+01	0.000E+00	0.132E+01	0.660E+00	0.125E+01	0.7834
0.7390	6.1767	1.2200	0.113E+02	0.000E+00	0.113E+02	0.122E+01	0.000E+00	0.122E+01	0.607E+00	0.133E+01	0.7837
0.7338	6.1793	1.2300	0.110E+02	0.000E+00	0.110E+02	0.111E+01	0.000E+00	0.111E+01	0.553E+00	0.143E+01	0.7841
0.7286	6.1819	1.2400	0.108E+02	0.000E+00	0.108E+02	0.102E+01	0.000E+00	0.102E+01	0.511E+00	0.151E+01	0.7844
0.7234	6.1845	1.2500	0.104E+02	0.000E+00	0.104E+02	0.935E+00	0.000E+00	0.935E+00	0.467E+00	0.160E+01	0.7847
0.7184	6.1870	1.2600	0.101E+02	0.000E+00	0.101E+02	0.859E+00	0.000E+00	0.859E+00	0.429E+00	0.169E+01	0.7850
0.7134	6.1895	1.2700	0.981E+01	0.000E+00	0.981E+01	0.794E+00	0.000E+00	0.794E+00	0.396E+00	0.176E+01	0.7853
0.7085	6.1919	1.2800	0.947E+01	0.000E+00	0.947E+01	0.737E+00	0.000E+00	0.737E+00	0.368E+00	0.184E+01	0.7857
0.7037	6.1943	1.2900	0.914E+01	0.000E+00	0.914E+01	0.673E+00	0.000E+00	0.673E+00	0.336E+00	0.194E+01	0.7860
0.6989	6.1967	1.3000	0.880E+01	0.000E+00	0.880E+01	0.623E+00	0.000E+00	0.623E+00	0.311E+00	0.202E+01	0.7863
0.6942	6.1990	1.3100	0.837E+01	0.000E+00	0.837E+01	0.584E+00	0.000E+00	0.584E+00	0.291E+00	0.205E+01	0.7866
0.6896	6.2013	1.3200	0.801E+01	0.000E+00	0.801E+01	0.538E+00	0.000E+00	0.538E+00	0.269E+00	0.213E+01	0.7869
0.6851	6.2036	1.3300	0.759E+01	0.000E+00	0.759E+01	0.499E+00	0.000E+00	0.499E+00	0.249E+00	0.217E+01	0.7871
0.6806	6.2059	1.3400	0.723E+01	0.000E+00	0.723E+01	0.466E+00	0.000E+00	0.466E+00	0.232E+00	0.222E+01	0.7874
0.6761	6.2081	1.3500	0.683E+01	0.000E+00	0.683E+01	0.431E+00	0.000E+00	0.431E+00	0.215E+00	0.226E+01	0.7877
0.6718	6.2102	1.3600	0.638E+01	0.000E+00	0.638E+01	0.401E+00	0.000E+00	0.401E+00	0.200E+00	0.227E+01	0.7880
0.6675	6.2124	1.3700	0.596E+01	0.000E+00	0.596E+01	0.375E+00	0.000E+00	0.375E+00	0.187E+00	0.227E+01	0.7883
0.6632	6.2145	1.3800	0.552E+01	0.000E+00	0.552E+01	0.350E+00	0.000E+00	0.350E+00	0.175E+00	0.225E+01	0.7885
0.6591	6.2166	1.3900	0.507E+01	0.000E+00	0.507E+01	0.326E+00	0.000E+00	0.326E+00	0.162E+00	0.223E+01	0.7888
0.6549	6.2187	1.4000	0.456E+01	0.000E+00	0.456E+01	0.306E+00	0.000E+00	0.306E+00	0.153E+00	0.213E+01	0.7891
0.6509	6.2207	1.4100	0.409E+01	0.000E+00	0.409E+01	0.284E+00	0.000E+00	0.284E+00	0.142E+00	0.206E+01	0.7893
0.6468	6.2227	1.4200	0.358E+01	0.000E+00	0.358E+01	0.267E+00	0.000E+00	0.267E+00	0.133E+00	0.191E+01	0.7896
0.6429	6.2247	1.4300	0.306E+01	0.000E+00	0.306E+01	0.251E+00	0.000E+00	0.251E+00	0.125E+00	0.174E+01	0.7898
0.6390	6.2266	1.4400	0.261E+01	0.000E+00	0.261E+01	0.236E+00	0.000E+00	0.236E+00	0.118E+00	0.158E+01	0.7901
0.6351	6.2286	1.4500	0.262E+01	0.000E+00	0.262E+01	0.221E+00	0.000E+00	0.221E+00	0.110E+00	0.169E+01	0.7903
0.6313	6.2305	1.4600	0.260E+01	0.000E+00	0.260E+01	0.209E+00	0.000E+00	0.209E+00	0.104E+00	0.178E+01	0.7905
0.6275	6.2323	1.4700	0.260E+01	0.000E+00	0.260E+01	0.196E+00	0.000E+00	0.196E+00	0.978E-01	0.189E+01	0.7908
0.6238	6.2342	1.4800	0.262E+01	0.000E+00	0.262E+01	0.186E+00	0.000E+00	0.186E+00	0.926E-01	0.202E+01	0.7910
0.6202	6.2360	1.4900	0.260E+01	0.000E+00	0.260E+01	0.174E+00	0.000E+00	0.174E+00	0.868E-01	0.214E+01	0.7913
0.6165	6.2378	1.5000	0.259E+01	0.000E+00	0.259E+01	0.165E+00	0.000E+00	0.165E+00	0.822E-01	0.225E+01	0.7915
0.6130	6.2396	1.5100	0.262E+01	0.000E+00	0.262E+01	0.154E+00	0.000E+00	0.154E+00	0.770E-01	0.243E+01	0.7917
0.6094	6.2414	1.5200	0.261E+01	0.000E+00	0.261E+01	0.147E+00	0.000E+00	0.147E+00	0.733E-01	0.254E+01	0.7919
0.6060	6.2431	1.5300	0.260E+01	0.000E+00	0.260E+01	0.138E+00	0.000E+00	0.138E+00	0.688E-01	0.269E+01	0.7922
0.6025	6.2448	1.5400	0.259E+01	0.000E+00	0.259E+01	0.130E+00	0.000E+00	0.130E+00	0.648E-01	0.285E+01	0.7924
0.5991	6.2465	1.5500	0.260E+01	0.000E+00	0.260E+01	0.124E+00	0.000E+00	0.124E+00	0.617E-01	0.301E+01	0.7926
0.5958	6.2482	1.5600	0.260E+01	0.000E+00	0.260E+01	0.116E+00	0.000E+00	0.116E+00	0.581E-01	0.319E+01	0.7928
0.5925	6.2498	1.5700	0.261E+01	0.000E+00	0.261E+01	0.111E+00	0.000E+00	0.111E+00	0.557E-01	0.334E+01	0.7930
0.5892	6.2515	1.5800	0.262E+01	0.000E+00	0.262E+01	0.104E+00	0.000E+00	0.104E+00	0.521E-01	0.358E+01	0.7932
0.5860	6.2531	1.5900	0.262E+01	0.000E+00	0.262E+01	0.992E-01	0.000E+00	0.992E-01	0.495E-01	0.378E+01	0.7934
0.5828	6.2547	1.6000	0.253E+01	0.000E+00	0.253E+01	0.935E-01	0.000E+00	0.935E-01	0.467E-01	0.386E+01	0.7936
0.5796	6.2563	1.6100	0.242E+01	0.000E+00	0.242E+01	0.891E-01	0.000E+00	0.891E-01	0.445E-01	0.388E+01	0.7938
0.5765	6.2578	1.6200	0.229E+01	0.000E+00	0.229E+01	0.842E-01	0.000E+00	0.842E-01	0.420E-01	0.389E+01	0.7940
0.5734	6.2593	1.6300	0.218E+01	0.000E+00	0.218E+01	0.804E-01	0.000E+00	0.804E-01	0.401E-01	0.387E+01	0.7942
0.5704	6.2609	1.6400	0.205E+01	0.000E+00	0.205E+01	0.768E-01	0.000E+00	0.768E-01	0.383E-01	0.381E+01	0.7944
0.5673	6.2624	1.6500	0.196E+01	0.000E+00	0.196E+01	0.724E-01	0.000E+00	0.724E-01	0.361E-01	0.387E+01	0.7946
0.5644	6.2639	1.6600	0.187E+01	0.000E+00	0.187E+01	0.687E-01	0.000E+00	0.687E-01	0.343E-01	0.389E+01	0.7948
0.5614	6.2653	1.6700	0.176E+01	0.000E+00	0.176E+01	0.656E-01	0.000E+00	0.656E-01	0.327E-01	0.384E+01	0.7950
0.5585	6.2668	1.6800	0.168E+01	0.000E+00	0.168E+01	0.625E-01	0.000E+00	0.625E-01	0.312E-01	0.384E+01	0.7952
0.5556	6.2682	1.6900	0.160E+01	0.000E+00	0.160E+01	0.591E-01	0.000E+00	0.591E-01	0.295E-01	0.387E+01	0.7953
0.5528	6.2696	1.7000	0.151E+01	0.000E+00	0.151E+01	0.562E-01	0.000E+00	0.562E-01	0.281E-01	0.385E+01	0.7955
0.5500	6.2710	1.7100	0.145E+01	0.000E+00	0.145E+01	0.537E-01	0.000E+00	0.537E-01	0.268E-01	0.386E+01	0.7957
0.5472	6.2724	1.7200	0.137E+01	0.000E+00	0.137E+01	0.508E-01	0.000E+00	0.508E-01	0.254E-01	0.385E+01	0.7959
0.5445	6.2738	1.7300	0.130E+01	0.000E+00	0.130E+01	0.485E-01	0.000E+00	0.485E-01	0.242E-01	0.384E+01	0.7960
0.5417	6.2752	1.7400	0.124E+01	0.000E+00	0.124E+01	0.460E-01	0.000E+00	0.460E-01	0.229E-01	0.385E+01	0.7962
0.5391	6.2765	1.7500	0.117E+01	0.000E+00	0.117E+01	0.435E-01	0.000E+00	0.435E-01	0.217E-01	0.385E+01	0.7964
0.5364	6.2778	1.7600	0.111E+01	0.000E+00	0.111E+01	0.414E-01	0.000E+00	0.414E-01	0.207E-01	0.385E+01	0.7966
0.5338	6.2791	1.7700	0.106E+01	0.000E+00	0.106E+01	0.393E-01	0.000E+00	0.393E-01	0.196E-01	0.385E+01	0.7967
0.5312	6.2804	1.7800	0.101E+01	0.000E+00	0.101E+01	0.375E-01	0.000E+00	0.375E-01	0.187E-01	0.385E+01	0.7969
0.5286	6.2817	1.7900	0.953E+00	0.000E+00	0.953E+00	0.355E-01	0.000E+00	0.355E-01	0.177E-01	0.384E+01	0.7971
0.5261	6.2830	1.8000	0.903E+00	0.000E+00	0.903E+00	0.336E-01	0.000E+00	0.336E-01	0.168E-01	0.384E+01	0.7972
0.5235	6.2842	1.8100	0.857E+00	0.000E+00	0.857E+00	0.319E-01	0.000E+00	0.319E-01	0.159E-01	0.384E+01	0.7974
0.5210	6.2855	1.8200	0.808E+00	0.000E+00	0.808E+00	0.301E-01	0.000E+00	0.301E-01	0.150E-01	0.384E+01	0.7975
0.5186	6.2867	1.8300	0.764E+00	0.000E+00	0.764E+00	0.285E-01	0.000E+00	0.285E-01	0.142E-01	0.384E+01	0.7977
0.5161	6.2879	1.8400	0.721E+00	0.000E+00	0.721E+00	0.268E-01	0.000E+00	0.268E-01	0.134E-01	0.384E+01	0.7978
0.5137	6.2891	1.8500	0.678E+00	0.000E+00	0.678E+00	0.252E-01	0.000E+00	0.252E-01	0.126E-01	0.384E+01	0.7980
0.5113	6.2903	1.8600	0.636E+00	0.000E+00	0.636E+00	0.237E-01	0.000E+00	0.237E-01	0.119E-01	0.383E+01	0.7981
0.5090	6.2915	1.8700	0.597E+00	0.000E+00	0.597E+00	0.222E-01	0.000E+00	0.222E-01	0.111E-01	0.385E+01	0.7983
0.5066	6.2927	1.8800	0.557E+00	0.000E+00	0.557E+00	0.207E-01	0.000E+00	0.207E-01	0.104E-01	0.384E+01	0.7984
0.5043	6.2938	1.8900	0.517E+00	0.000E+00	0.517E+00	0.193E-01	0.000E+00	0.193E-01	0.961E-02	0.384E+01	0.7986
0.5020	6.2950	1.9000	0.478E+00	0.000E+00	0.478E+00	0.178E-01	0.000E+00	0.178E-01	0.889E-02	0.384E+01	0.7987
0.4997	6.2961	1.9100	0.439E+00	0.000E+00	0.439E+00	0.164E-01	0.000E+00	0.164E-01	0.816E-02	0.383E+01	0.7989
0.4975	6.2972	1.9200	0.399E+00	0.000E+00	0.399E+00	0.149E-01	0.000E+00	0.149E-01	0.743E-02	0.383E+01	0.7990
0.4953	6.2983	1.9300	0.359E+00	0.000E+00	0.359E+00	0.134E-01	0.000E+00	0.134E-01	0.668E-02	0.383E+01	0.7992
0.4931	6.2994	1.9400	0.318E+00	0.000E+00	0.318E+00	0.119E-01	0.000E+00	0.119E-01	0.592E-02	0.383E+01	0.7993
0.4909	6.3005	1.9500	0.274E+00	0.000E+00	0.274E+00	0.102E-01	0.000E+00	0.102E-01	0.509E-02	0.383E+01	0.7994
0.4887	6.3016	1.9600	0.225E+00	0.000E+00	0.225E+00	0.839E-02	0.000E+00	0.839E-02	0.419E-02	0.383E+01	0.7996
0.4866	6.3027	1.9700	0.168E+00	0.000E+00	0.168E+00	0.627E-02	0.000E+00	0.627E-02	0.313E-02	0.383E+01	0.7997
0.4845	6.3037	1.9800	0.872E-01	0.000E+00	0.872E-01	0.324E-02	0.000E+00	0.324E-02	0.162E-02	0.384E+01	0.7998
