  W2      Ee`     X         QE_N       IN_N      TOT_N       QE_D       IN_D      TOT_D      DGW2D       REL       Q2
  0.6957  6.1079  1.2000   0.256E+01  0.000E+00  0.256E+01  0.248E+00  0.000E+00  0.248E+00  0.121E+00  0.147E+01  1.1080
  0.6879  6.1117  1.2100   0.248E+01  0.000E+00  0.248E+01  0.223E+00  0.000E+00  0.223E+00  0.108E+00  0.159E+01  1.1087
  0.6803  6.1154  1.2200   0.241E+01  0.000E+00  0.241E+01  0.203E+00  0.000E+00  0.203E+00  0.985E-01  0.170E+01  1.1094
  0.6728  6.1191  1.2300   0.234E+01  0.000E+00  0.234E+01  0.184E+00  0.000E+00  0.184E+00  0.895E-01  0.181E+01  1.1101
  0.6654  6.1227  1.2400   0.226E+01  0.000E+00  0.226E+01  0.167E+00  0.000E+00  0.167E+00  0.811E-01  0.193E+01  1.1107
  0.6581  6.1262  1.2500   0.217E+01  0.000E+00  0.217E+01  0.152E+00  0.000E+00  0.152E+00  0.737E-01  0.204E+01  1.1114
  0.6509  6.1297  1.2600   0.208E+01  0.000E+00  0.208E+01  0.139E+00  0.000E+00  0.139E+00  0.675E-01  0.214E+01  1.1120
  0.6438  6.1331  1.2700   0.200E+01  0.000E+00  0.200E+01  0.126E+00  0.000E+00  0.126E+00  0.611E-01  0.227E+01  1.1126
  0.6368  6.1365  1.2800   0.191E+01  0.000E+00  0.191E+01  0.115E+00  0.000E+00  0.115E+00  0.559E-01  0.237E+01  1.1132
  0.6300  6.1399  1.2900   0.182E+01  0.000E+00  0.182E+01  0.105E+00  0.000E+00  0.105E+00  0.511E-01  0.246E+01  1.1138
  0.6232  6.1432  1.3000   0.170E+01  0.000E+00  0.170E+01  0.972E-01  0.000E+00  0.972E-01  0.472E-01  0.250E+01  1.1144
  0.6165  6.1464  1.3100   0.161E+01  0.000E+00  0.161E+01  0.890E-01  0.000E+00  0.890E-01  0.433E-01  0.258E+01  1.1150
  0.6099  6.1496  1.3200   0.150E+01  0.000E+00  0.150E+01  0.820E-01  0.000E+00  0.820E-01  0.399E-01  0.262E+01  1.1156
