Kine	Model	x	Azz	Creator
H1	AV18-PWBA-NR	0.79993	-0.3692794454	Arenhovel
H1	AV18-PWBA-NR	0.89993	-0.0160173828	Arenhovel
H1	AV18-PWBA-NR	0.99884	0.0703755095	Arenhovel
H1	AV18-PWBA-NR	0.99964	0.0692017122	Arenhovel
H1	AV18-PWBA-NR	1.09997	-0.1086483711	Arenhovel
H1	AV18-PWBA-NR	1.20000	-0.6079845526	Arenhovel
H1	AV18-PWBA-NR	1.30062	-0.9433228725	Arenhovel
H1	AV18-PWBA-NR	1.40008	-0.666207725	Arenhovel
H1	AV18-PWBA-NR	1.50065	-0.0926493731	Arenhovel
H1	AV18-PWBA-NR	1.60042	0.3682329274	Arenhovel
H1	AV18-PWBA-NR	1.70081	0.6594477841	Arenhovel
H1	AV18-PWBA-NR	1.80100	0.8358284996	Arenhovel
H1	AV18-PWBA-RC	0.49967	-0.4478531509	Arenhovel
H1	AV18-PWBA-RC	0.59971	-0.5472157958	Arenhovel
H1	AV18-PWBA-RC	0.70000	-0.3543453502	Arenhovel
H1	AV18-PWBA-RC	0.79993	-0.0575259651	Arenhovel
H1	AV18-PWBA-RC	0.89993	0.0758103322	Arenhovel
H1	AV18-PWBA-RC	0.99884	0.0808958442	Arenhovel
H1	AV18-PWBA-RC	0.99964	0.0783205613	Arenhovel
H1	AV18-PWBA-RC	1.09997	0.071703456	Arenhovel
H1	AV18-PWBA-RC	1.20000	-0.103832974	Arenhovel
H1	AV18-PWBA-RC	1.30062	-0.4471884706	Arenhovel
H1	AV18-PWBA-RC	1.40008	-0.7287018223	Arenhovel
H1	AV18-PWBA-RC	1.50065	-0.6769698902	Arenhovel
H1	AV18-PWBA-RC	1.60042	-0.2866328048	Arenhovel
H1	AV18-PWBA-RC	1.70081	0.1806092141	Arenhovel
H1	AV18-PWBA-RC	1.80100	0.5552768131	Arenhovel
H1	Bonn-Norm	0.4996744705	-0.2630720069	Arenhovel
H1	Bonn-Norm	0.5997147865	-0.2544594463	Arenhovel
H1	Bonn-Norm	0.6999962056	-0.2144796289	Arenhovel
H1	Bonn-Norm	0.7999316648	-0.0284582195	Arenhovel
H1	Bonn-Norm	0.899931421	0.0114630495	Arenhovel
H1	Bonn-Norm	0.9996420716	0.0671171615	Arenhovel
H1	Bonn-Norm	1.0999702644	-0.1360020899	Arenhovel
H1	Bonn-Norm	1.1999984627	-0.6154940266	Arenhovel
H1	Bonn-Norm	1.3006173414	-0.7986205408	Arenhovel
H1	Bonn-Norm	1.4000831526	-0.5112099185	Arenhovel
H1	Bonn-Norm	1.500648218	-0.0416952585	Arenhovel
H1	Bonn-Norm	1.6004188603	0.3593092398	Arenhovel
H1	Bonn-Norm	1.7008086785	0.6329878484	Arenhovel
H1	Bonn-Norm	1.801004768	0.7877593806	Arenhovel
H1	Bonn-Norm-MEC	0.4996744705	-0.3098117651	Arenhovel
H1	Bonn-Norm-MEC	0.5997147865	-0.2817679102	Arenhovel
H1	Bonn-Norm-MEC	0.6999962056	-0.2266701498	Arenhovel
H1	Bonn-Norm-MEC	0.7999316648	-0.0313573573	Arenhovel
H1	Bonn-Norm-MEC	0.899931421	0.0112302699	Arenhovel
H1	Bonn-Norm-MEC	0.9996420716	0.0673434356	Arenhovel
H1	Bonn-Norm-MEC	1.0999702644	-0.1341579554	Arenhovel
H1	Bonn-Norm-MEC	1.1999984627	-0.6113503809	Arenhovel
H1	Bonn-Norm-MEC	1.3006173414	-0.7986205408	Arenhovel
H1	Bonn-Norm-MEC	1.4000831526	-0.5136847923	Arenhovel
H1	Bonn-Norm-MEC	1.500648218	-0.0402570033	Arenhovel
H1	Bonn-Norm-MEC	1.6004188603	0.3573717672	Arenhovel
H1	Bonn-Norm-MEC	1.7008086785	0.6218721298	Arenhovel
H1	Bonn-Norm-MEC	1.801004768	0.7735465343	Arenhovel
H1	Bonn-Norm-MEC-IC	0.4996744705	-0.2415618186	Arenhovel
H1	Bonn-Norm-MEC-IC	0.5997147865	-0.2226113569	Arenhovel
H1	Bonn-Norm-MEC-IC	0.6999962056	-0.1830416614	Arenhovel
H1	Bonn-Norm-MEC-IC	0.7999316648	-0.0082732908	Arenhovel
H1	Bonn-Norm-MEC-IC	0.899931421	0.0184314454	Arenhovel
H1	Bonn-Norm-MEC-IC	0.9996420716	0.0683545983	Arenhovel
H1	Bonn-Norm-MEC-IC	1.0999702644	-0.1348990033	Arenhovel
H1	Bonn-Norm-MEC-IC	1.1999984627	-0.6220842618	Arenhovel
H1	Bonn-Norm-MEC-IC	1.3006173414	-0.8080674874	Arenhovel
H1	Bonn-Norm-MEC-IC	1.4000831526	-0.5105452382	Arenhovel
H1	Bonn-Norm-MEC-IC	1.500648218	-0.0503615592	Arenhovel
H1	Bonn-Norm-MEC-IC	1.6004188603	0.3117350956	Arenhovel
H1	Bonn-Norm-MEC-IC	1.7008086785	0.5461409935	Arenhovel
H1	Bonn-Norm-MEC-IC	1.801004768	0.6847904912	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	0.4996744705	-0.0365687343	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	0.5997147865	-0.0892213194	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	0.6999962056	-0.074994331	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	0.7999316648	0.0622565094	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	0.899931421	0.063187062	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	0.9996420716	0.0741443886	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.0999702644	0.0601337749	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.1999984627	-0.1808496304	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.3006173414	-0.5821751551	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.4000831526	-0.8272442233	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.500648218	-0.7428298158	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.6004188603	-0.4390850268	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.7008086785	-0.063332726	Arenhovel
H1	Bonn-Norm-MEC-IC-Rel	1.801004768	0.293845294	Arenhovel
H1	Bonn-Norm-Rel	0.4996744705	-0.0244545809	Arenhovel
H1	Bonn-Norm-Rel	0.5997147865	-0.0986102833	Arenhovel
H1	Bonn-Norm-Rel	0.6999962056	-0.0925192655	Arenhovel
H1	Bonn-Norm-Rel	0.7999316648	0.0409230979	Arenhovel
H1	Bonn-Norm-Rel	0.899931421	0.0578286068	Arenhovel
H1	Bonn-Norm-Rel	0.9996420716	0.0701662059	Arenhovel
H1	Bonn-Norm-Rel	1.0999702644	0.0559378032	Arenhovel
H1	Bonn-Norm-Rel	1.1999984627	-0.185403398	Arenhovel
H1	Bonn-Norm-Rel	1.3006173414	-0.5871814711	Arenhovel
H1	Bonn-Norm-Rel	1.4000831526	-0.8379781042	Arenhovel
H1	Bonn-Norm-Rel	1.500648218	-0.7773083424	Arenhovel
H1	Bonn-Norm-Rel	1.6004188603	-0.4554474778	Arenhovel
H1	Bonn-Norm-Rel	1.7008086785	-0.0383124596	Arenhovel
H1	Bonn-Norm-Rel	1.801004768	0.3602001943	Arenhovel
H1	Bonn-PWBA-NR	0.4996744705	-0.1873408706	Arenhovel
