	W2		Ee`		X		QE_N		IN_N		TOT_N		QE_D		IN_D		TOT_D		DGW2D		REL			Q2
	0.6468	5.7701	1.1500	0.253E+00	0.732E-02	0.260E+00	0.281E-01	0.215E-03	0.283E-01	0.129E-01	0.131E+01	1.7910
	0.6331	5.7763	1.1600	0.246E+00	0.637E-02	0.252E+00	0.246E-01	0.189E-03	0.248E-01	0.113E-01	0.145E+01	1.7930
	0.6196	5.7825	1.1700	0.238E+00	0.551E-02	0.244E+00	0.217E-01	0.165E-03	0.219E-01	0.100E-01	0.159E+01	1.7949
	0.6063	5.7886	1.1800	0.231E+00	0.464E-02	0.236E+00	0.193E-01	0.145E-03	0.194E-01	0.887E-02	0.173E+01	1.7968
	0.5932	5.7946	1.1900	0.223E+00	0.328E-02	0.226E+00	0.169E-01	0.127E-03	0.171E-01	0.780E-02	0.189E+01	1.7987
	0.5803	5.8005	1.2000	0.214E+00	0.322E-02	0.217E+00	0.151E-01	0.110E-03	0.152E-01	0.695E-02	0.204E+01	1.8005
	0.5676	5.8063	1.2100	0.205E+00	0.269E-02	0.208E+00	0.135E-01	0.954E-04	0.136E-01	0.620E-02	0.219E+01	1.8023
	0.5550	5.8120	1.2200	0.197E+00	0.233E-02	0.199E+00	0.120E-01	0.823E-04	0.121E-01	0.552E-02	0.236E+01	1.8041
	0.5427	5.8176	1.2300	0.185E+00	0.189E-02	0.187E+00	0.107E-01	0.708E-04	0.108E-01	0.494E-02	0.248E+01	1.8058
	0.5305	5.8232	1.2400	0.176E+00	0.147E-02	0.178E+00	0.962E-02	0.614E-04	0.968E-02	0.443E-02	0.262E+01	1.8075
	0.5185	5.8287	1.2500	0.165E+00	0.127E-02	0.166E+00	0.859E-02	0.534E-04	0.865E-02	0.395E-02	0.275E+01	1.8092
	0.5067	5.8341	1.2600	0.154E+00	0.110E-02	0.155E+00	0.770E-02	0.460E-04	0.775E-02	0.354E-02	0.285E+01	1.8109
	0.4950	5.8394	1.2700	0.142E+00	0.935E-03	0.143E+00	0.696E-02	0.393E-04	0.700E-02	0.320E-02	0.292E+01	1.8126
	0.4835	5.8447	1.2800	0.129E+00	0.799E-03	0.130E+00	0.629E-02	0.337E-04	0.632E-02	0.289E-02	0.294E+01	1.8142
	0.4722	5.8499	1.2900	0.118E+00	0.679E-03	0.119E+00	0.573E-02	0.287E-04	0.576E-02	0.263E-02	0.295E+01	1.8158
	0.4610	5.8550	1.3000	0.105E+00	0.573E-03	0.106E+00	0.518E-02	0.243E-04	0.520E-02	0.238E-02	0.290E+01	1.8174
	0.4499	5.8601	1.3100	0.919E-01	0.480E-03	0.924E-01	0.472E-02	0.206E-04	0.474E-02	0.217E-02	0.279E+01	1.8190
	0.4390	5.8650	1.3200	0.780E-01	0.403E-03	0.784E-01	0.433E-02	0.172E-04	0.435E-02	0.199E-02	0.258E+01	1.8205
	0.4283	5.8700	1.3300	0.642E-01	0.336E-03	0.645E-01	0.394E-02	0.143E-04	0.396E-02	0.181E-02	0.233E+01	1.8221
	0.4177	5.8748	1.3400	0.534E-01	0.279E-03	0.537E-01	0.359E-02	0.120E-04	0.360E-02	0.165E-02	0.213E+01	1.8236
	0.4072	5.8796	1.3500	0.534E-01	0.231E-03	0.536E-01	0.328E-02	0.989E-05	0.329E-02	0.151E-02	0.232E+01	1.8250
	0.3969	5.8843	1.3600	0.536E-01	0.189E-03	0.538E-01	0.304E-02	0.815E-05	0.305E-02	0.139E-02	0.252E+01	1.8265
