  0.1706E-03   0.1044E-02  -0.3195E-03  -0.1424E-02  -0.4147E-05  -0.8111E-06   0.1038E-02   0.1836E-02   0.2850E-05   0.3346E-04   0.4155E-04
  0.1044E-02   0.8214E-02   0.5673E-03  -0.9948E-04  -0.5648E-04  -0.1162E-04   0.1052E-01   0.1842E-01   0.2138E-04  -0.1398E-03   0.2204E-03
 -0.3195E-03   0.5673E-03   0.8890E-02   0.3713E-01   0.3241E-04   0.4683E-05   0.3458E-02   0.1760E-02  -0.4232E-04  -0.2432E-02  -0.3160E-03
 -0.1424E-02  -0.9948E-04   0.3713E-01   0.1861E+00   0.1789E-03   0.2826E-04   0.1949E-01   0.1446E-01  -0.1771E-03  -0.8736E-02  -0.1287E-02
 -0.4147E-05  -0.5648E-04   0.3241E-04   0.1789E-03   0.4354E-04   0.1136E-04  -0.4148E-03  -0.1712E-02   0.1460E-04   0.3209E-03  -0.3500E-05
 -0.8111E-06  -0.1162E-04   0.4683E-05   0.2826E-04   0.1136E-04   0.3212E-05  -0.8229E-04  -0.3719E-03   0.6290E-05   0.1355E-03  -0.2659E-06
  0.1038E-02   0.1052E-01   0.3458E-02   0.1949E-01  -0.4148E-03  -0.8229E-04   0.2925E-01   0.6221E-01   0.1725E-03   0.3722E-02   0.4374E-03
  0.1836E-02   0.1842E-01   0.1760E-02   0.1446E-01  -0.1712E-02  -0.3719E-03   0.6221E-01   0.1591E+00   0.3725E-03   0.1034E-01   0.1297E-02
  0.2850E-05   0.2138E-04  -0.4232E-04  -0.1771E-03   0.1460E-04   0.6290E-05   0.1725E-03   0.3725E-03   0.6173E-04   0.1234E-02   0.1283E-04
  0.3346E-04  -0.1398E-03  -0.2432E-02  -0.8736E-02   0.3209E-03   0.1355E-03   0.3722E-02   0.1034E-01   0.1234E-02   0.3115E-01   0.4190E-03
  0.4155E-04   0.2204E-03  -0.3160E-03  -0.1287E-02  -0.3500E-05  -0.2659E-06   0.4374E-03   0.1297E-02   0.1283E-04   0.4190E-03   0.1432E-03
