0.02 -9.0162748271 3571.38256766 809.429014609 809.429014609 0.0240354061961 0.009
0.03 -20.1652475014 5089.92752678 1269.372125 1269.372125 0.0198107212938 0.015
0.04 -15.5837053192 4294.83325422 1438.71914994 1438.71914994 0.0204124145232 0.022
0.05 -15.0834886547 3999.69211114 1384.79669662 1384.79669662 0.020993398614 0.028
0.06 -16.7731860049 3919.66299021 1180.50634068 1180.50634068 0.0217751778155 0.035
0.07 -9.69230298871 3138.63744065 1421.33521557 1421.33521557 0.0222938981034 0.041
0.08 -6.11365861062 2700.88017171 1563.93898646 1563.93898646 0.0225704308883 0.048
0.09 -4.0207875771 2401.24289032 1606.70627937 1606.70627937 0.0229839513131 0.054
0.1 -2.60518287657 2178.53847225 1631.0051652 1631.0051652 0.0233380014005 0.061
0.11 -1.53881220837 1982.64049621 1635.42255392 1635.42255392 0.0237423220842 0.067
0.12 -1.0695421411 1864.93318667 1631.82177149 1631.82177149 0.0240215329446 0.074
0.13 -0.467687450123 1752.22212109 1639.65639194 1639.65639194 0.0242464322484 0.08
0.14 -0.179775518793 1693.44502964 1630.2383096 1630.2383096 0.0244265984373 0.087
0.15 -0.974760038561 1723.8065561 1536.53805663 1536.53805663 0.0248222268373 0.094
0.16 -2.48417828211 1876.27553699 1393.06045218 1393.06045218 0.0251656953595 0.101
0.17 -1.40911381633 1735.76309393 1471.21546821 1471.21546821 0.0251180179652 0.107
0.18 -0.814993817769 1612.12405061 1475.64778182 1475.64778182 0.025424641809 0.114
0.19 -0.41205669711 1532.9966206 1487.15192872 1487.15192872 0.0255738584644 0.121
0.2 -0.145030077924 1464.00048443 1482.1881488 1482.1881488 0.0257941077511 0.128
0.21 0.073607936607 1399.73331924 1472.22607419 1472.22607419 0.0260377821962 0.135
0.22 0.348827473212 1324.3307242 1472.63766299 1472.63766299 0.0262703468746 0.142
0.23 0.463786633058 1314.6429262 1484.86929814 1484.86929814 0.0262161252547 0.149
0.24 0.58950772257 1277.24469425 1477.6733845 1477.6733845 0.0263706331375 0.156
0.25 0.735418218635 1212.2965937 1461.6578496 1461.6578496 0.0266880256342 0.163
0.26 0.79154035464 1207.89062506 1469.79486421 1469.79486421 0.0266406307724 0.171
0.27 0.883559385817 1182.54791471 1463.88899838 1463.88899838 0.0267548054274 0.178
0.28 0.869064768012 1131.88430845 1427.88844724 1427.88844724 0.0271763212599 0.185
0.29 1.04597891981 1130.2308165 1461.10750489 1461.10750489 0.0269484027818 0.193
0.3 1.04059270965 1091.24449903 1438.16170134 1438.16170134 0.0272468438062 0.2
0.31 1.04337441293 1104.34636378 1441.16081094 1441.16081094 0.0271662912462 0.207
0.32 1.14390386868 1051.9272189 1426.86572087 1426.86572087 0.0274721127897 0.215
0.33 1.1209592029 1045.14451942 1411.13090953 1411.13090953 0.027597366233 0.223
0.34 1.09847027942 1042.75724269 1404.6924572 1404.6924572 0.0276500631805 0.23
0.35 1.21831226549 1027.20670489 1430.76390156 1430.76390156 0.0275345258489 0.238
0.36 1.1653755358 1039.01144233 1420.01613008 1420.01613008 0.0275554249227 0.246
0.37 1.13357936273 1001.50589021 1383.58401213 1383.58401213 0.0279727119432 0.253
0.38 1.13798954517 1000.40912334 1381.40139479 1381.40139479 0.0279946255478 0.261
0.39 1.14814107669 1017.74948547 1398.0159885 1398.0159885 0.0277992360875 0.269
0.4 1.21357090162 994.584025021 1403.19389739 1403.19389739 0.0278747336669 0.277
0.41 1.13974356673 994.137937555 1379.12822775 1379.12822775 0.0280496356727 0.285
0.42 1.11446693772 985.983135424 1363.29638733 1363.29638733 0.0281941937217 0.294
0.43 1.12850921855 1021.38253806 1395.66953963 1395.66953963 0.0278423023195 0.302
0.44 1.04478897612 992.474144366 1349.23273705 1349.23273705 0.0282842712475 0.31
0.45 1.05844729753 1002.91231293 1360.23541841 1360.23541841 0.0281829944388 0.319
0.46 1.00619972395 1003.65922959 1342.11806512 1342.11806512 0.0283182735894 0.327
0.47 0.982462534669 1020.81191786 1349.5955916 1349.5955916 0.0282054063663 0.336
0.48 0.925612057334 1032.6053352 1341.61289913 1341.61289913 0.0281941937217 0.344
0.49 0.872493079953 1028.65130971 1316.87911584 1316.87911584 0.0284325067018 0.353
0.5 0.833801721955 1054.38238153 1325.9186677 1325.9186677 0.0282729643227 0.362
0.51 0.773723993299 1036.57652075 1284.13301245 1284.13301245 0.0286534127531 0.371
0.52 0.722786478678 1090.78905934 1316.74148497 1316.74148497 0.0282054063663 0.38
0.53 0.659896666317 1108.7394815 1307.0872171 1307.0872171 0.0282278718469 0.389
0.54 0.570549281323 1125.67182528 1286.29173098 1286.29173098 0.0282955917487 0.398
0.55 0.494100044729 1156.98072579 1282.11451732 1282.11451732 0.0282054063663 0.407
0.56 0.410387214274 1181.6787049 1269.07487699 1269.07487699 0.0282278718469 0.417
0.57 0.345394685677 1197.08522565 1253.26255571 1253.26255571 0.0282729643227 0.426
0.58 0.29402631621 1191.54453833 1222.36575331 1222.36575331 0.028548133477 0.436
0.59 0.11950770483 1289.10969812 1233.95387559 1233.95387559 0.0280606766633 0.446
0.6 -0.000821942960725 1322.02164855 1210.81084251 1210.81084251 0.0281383303942 0.456
0.61 -0.0839327346738 1361.88499409 1202.83407371 1202.83407371 0.0280275927336 0.466
0.62 -0.153758548856 1384.30126684 1185.43241637 1185.43241637 0.0280717307022 0.476
0.63 -0.120114553784 1336.04839943 1150.2024618 1150.2024618 0.0285017137171 0.486
0.64 -0.446313993519 1502.99273287 1149.64330783 1149.64330783 0.0278747336669 0.496
