  0.51333E-02  0.17977E-02  0.87988E+03  0.27283E+02  0.26531E+02  0.25778E+02  0.26900E+02  0.27283E+02  0.26900E+02
  0.51935E-02  0.18238E-02  0.93915E+03  0.29115E+02  0.28363E+02  0.27609E+02  0.28734E+02  0.29115E+02  0.28734E+02
  0.52532E-02  0.18498E-02  0.10000E+04  0.31009E+02  0.30257E+02  0.29503E+02  0.30629E+02  0.31009E+02  0.30629E+02
  0.53104E-02  0.18746E-02  0.10603E+04  0.32897E+02  0.32145E+02  0.31391E+02  0.32518E+02  0.32897E+02  0.32518E+02
  0.53650E-02  0.18984E-02  0.11195E+04  0.34765E+02  0.34012E+02  0.33258E+02  0.34387E+02  0.34765E+02  0.34387E+02
  0.54206E-02  0.19226E-02  0.11814E+04  0.36731E+02  0.35978E+02  0.35223E+02  0.36354E+02  0.36731E+02  0.36354E+02
  0.54758E-02  0.19466E-02  0.12448E+04  0.38754E+02  0.38002E+02  0.37246E+02  0.38379E+02  0.38754E+02  0.38379E+02
  0.55289E-02  0.19697E-02  0.13072E+04  0.40763E+02  0.40010E+02  0.39255E+02  0.40389E+02  0.40763E+02  0.40389E+02
  0.55797E-02  0.19918E-02  0.13684E+04  0.42743E+02  0.41990E+02  0.41234E+02  0.42369E+02  0.42743E+02  0.42369E+02
  0.56314E-02  0.20144E-02  0.14323E+04  0.44820E+02  0.44067E+02  0.43311E+02  0.44447E+02  0.44820E+02  0.44447E+02
  0.23118E-02  0.40896E-03 -0.12698E+02  0.75994E+00  0.00000E+00  0.00000E+00  0.33364E+00  0.75997E+00  0.33364E+00
  0.24218E-02  0.43792E-03 -0.15617E+02  0.68474E+00  0.00000E+00  0.00000E+00  0.26398E+00  0.68478E+00  0.26398E+00
  0.25031E-02  0.45967E-03 -0.17782E+02  0.63896E+00  0.00000E+00  0.00000E+00  0.22209E+00  0.63900E+00  0.22209E+00
  0.26271E-02  0.49340E-03 -0.20741E+02  0.59164E+00  0.00000E+00  0.00000E+00  0.18043E+00  0.59169E+00  0.18043E+00
  0.26144E-02  0.49027E-03 -0.20724E+02  0.59089E+00 -0.17011E+00  0.00000E+00  0.18116E+00  0.59094E+00  0.18116E+00
  0.26895E-02  0.51125E-03 -0.21985E+02  0.58484E+00 -0.17694E+00  0.00000E+00  0.17772E+00  0.58490E+00  0.17772E+00
  0.27716E-02  0.53453E-03 -0.22923E+02  0.59445E+00 -0.16782E+00  0.00000E+00  0.19072E+00  0.59451E+00  0.19072E+00
  0.28412E-02  0.55447E-03 -0.23157E+02  0.61932E+00 -0.14329E+00  0.00000E+00  0.21838E+00  0.61939E+00  0.21838E+00
  0.29071E-02  0.57351E-03 -0.22789E+02  0.65929E+00 -0.10361E+00  0.00000E+00  0.26090E+00  0.65936E+00  0.26090E+00
  0.29762E-02  0.59364E-03 -0.21673E+02  0.72065E+00 -0.42497E-01  0.00000E+00  0.32489E+00  0.72073E+00  0.32489E+00
  0.30357E-02  0.61109E-03 -0.20023E+02  0.79129E+00  0.27959E-01  0.00000E+00  0.39771E+00  0.79137E+00  0.39771E+00
  0.30925E-02  0.62792E-03 -0.17772E+02  0.87595E+00  0.11248E+00  0.00000E+00  0.48442E+00  0.87603E+00  0.48442E+00
  0.31373E-02  0.64124E-03 -0.15494E+02  0.95530E+00  0.19174E+00  0.00000E+00  0.56535E+00  0.95539E+00  0.56535E+00
  0.32380E-02  0.67150E-03 -0.85626E+01  0.11789E+01  0.41517E+00  0.00000E+00  0.79237E+00  0.11790E+01  0.79237E+00
  0.32321E-02  0.66973E-03 -0.75676E+01  0.11786E+01  0.41481E+00 -0.35448E+00  0.79258E+00  0.11787E+01  0.79258E+00
  0.33078E-02  0.69290E-03 -0.13476E+01  0.13934E+01  0.62964E+00 -0.13806E+00  0.10097E+01  0.13935E+01  0.10097E+01
