          iterations=   6     deuteron energy=-.222462069E+01 MeV


                  D-state probability=0.442679905E-01




   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.147555983E+02  -.140606656E-35  0.540704416E-35
 0.150097012E+02  -.116263801E-35  0.556467134E-35
 0.152656752E+02  -.905359866E-36  0.572396316E-35
 0.155235102E+02  -.633915767E-36  0.588488375E-35
 0.157831960E+02  -.347989936E-36  0.604739708E-35
 0.160447225E+02  -.472672323E-37  0.621146698E-35
 0.163080792E+02  0.268566778E-36  0.637705713E-35
 0.165732559E+02  0.599825755E-36  0.654413111E-35
 0.168402421E+02  0.946822515E-36  0.671265236E-35
 0.171090273E+02  0.130986897E-35  0.688258426E-35
 0.173796008E+02  0.168927606E-35  0.705389008E-35
 0.176519521E+02  0.208535369E-35  0.722653301E-35
 0.179260703E+02  0.249841067E-35  0.740047618E-35
 0.182019448E+02  0.292875463E-35  0.757568265E-35
 0.184795645E+02  0.337669199E-35  0.775211543E-35
 0.187589187E+02  0.384252787E-35  0.792973749E-35
 0.190399962E+02  0.432656605E-35  0.810851175E-35
 0.193227860E+02  0.482910888E-35  0.828840110E-35
 0.196072769E+02  0.535045724E-35  0.846936841E-35
 0.198934579E+02  0.589091048E-35  0.865137652E-35
 0.201813175E+02  0.645076635E-35  0.883438826E-35
 0.204708444E+02  0.703032094E-35  0.901836647E-35
 0.207620272E+02  0.762986861E-35  0.920327396E-35
 0.210548545E+02  0.824970195E-35  0.938907358E-35
 0.213493148E+02  0.889011173E-35  0.957572815E-35
 0.216453963E+02  0.955138678E-35  0.976320055E-35
 0.219430875E+02  0.102338140E-34  0.995145366E-35
 0.222423766E+02  0.109376783E-34  0.101404504E-34
 0.225432518E+02  0.116632624E-34  0.103301536E-34
 0.228457013E+02  0.124108471E-34  0.105205265E-34
 0.231497132E+02  0.131807108E-34  0.107115319E-34
 0.234552754E+02  0.139731297E-34  0.109031329E-34
 0.237623760E+02  0.147883778E-34  0.110952927E-34
 0.240710028E+02  0.156267267E-34  0.112879745E-34
 0.243811437E+02  0.164884454E-34  0.114811416E-34
 0.246927865E+02  0.173738008E-34  0.116747572E-34
 0.250059189E+02  0.182830569E-34  0.118687849E-34
 0.253205285E+02  0.192164753E-34  0.120631880E-34
 0.256366029E+02  0.201743149E-34  0.122579303E-34
 0.259541298E+02  0.211568321E-34  0.124529753E-34
 0.262730965E+02  0.221642803E-34  0.126482868E-34
 0.265934905E+02  0.231969102E-34  0.128438288E-34
 0.269152993E+02  0.242549696E-34  0.130395652E-34
 0.272385101E+02  0.253387036E-34  0.132354601E-34
 0.275631101E+02  0.264483542E-34  0.134314778E-34
 0.278890867E+02  0.275841602E-34  0.136275827E-34
 0.282164269E+02  0.287463578E-34  0.138237391E-34
 0.285451178E+02  0.299351798E-34  0.140199118E-34
 0.288751466E+02  0.311508558E-34  0.142160656E-34
 0.292065001E+02  0.323936124E-34  0.144121652E-34
 0.295391654E+02  0.336636729E-34  0.146081758E-34
 0.298731294E+02  0.349612571E-34  0.148040627E-34
 0.302083788E+02  0.362865817E-34  0.149997911E-34
 0.305449005E+02  0.376398599E-34  0.151953267E-34
 0.308826812E+02  0.390213016E-34  0.153906352E-34
 0.312217076E+02  0.404311130E-34  0.155856824E-34
 0.315619663E+02  0.418694970E-34  0.157804345E-34
 0.319034440E+02  0.433366527E-34  0.159748578E-34
 0.322461272E+02  0.448327759E-34  0.161689186E-34
 0.325900024E+02  0.463580583E-34  0.163625837E-34
 0.329350560E+02  0.479126885E-34  0.165558200E-34
 0.332812745E+02  0.494968507E-34  0.167485944E-34
 0.336286441E+02  0.511107259E-34  0.169408742E-34
 0.339771513E+02  0.527544910E-34  0.171326271E-34
