#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.124520324E+03  0.404307996E-11  0.456102068E-13
 0.124567612E+03  0.174173373E-10  0.414717783E-10
 0.124612454E+03  0.287418928E-10  0.765094146E-10
 0.124654848E+03  0.374400435E-10  0.103382972E-09
 0.124694794E+03  0.433075724E-10  0.121471256E-09
 0.124732289E+03  0.464365578E-10  0.131069917E-09
 0.124767333E+03  0.471272317E-10  0.133117385E-09
 0.124799923E+03  0.458031926E-10  0.128931789E-09
 0.124830058E+03  0.429394216E-10  0.119988041E-09
 0.124857738E+03  0.390074740E-10  0.107748444E-09
 0.124882961E+03  0.344384242E-10  0.935483999E-10
 0.124905726E+03  0.296017022E-10  0.785313275E-10
 0.124926032E+03  0.247967007E-10  0.636230677E-10
 0.124943879E+03  0.202536671E-10  0.495349550E-10
 0.124959266E+03  0.161406001E-10  0.367854120E-10
 0.124972191E+03  0.125733993E-10  0.257315535E-10
 0.124982655E+03  0.962715113E-11  0.166042604E-10
 0.124990658E+03  0.734704840E-11  0.954207851E-11
 0.124996199E+03  0.575794670E-11  0.462086794E-11
 0.124999279E+03  0.487174466E-11  0.187669048E-11
