#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.145033765E+02  -.224439076E-06  -.309044110E-05
 0.147555983E+02  -.473025799E-06  -.303846785E-05
 0.150097012E+02  -.611884320E-06  -.293569800E-05
 0.152656752E+02  -.670743966E-06  -.279789162E-05
 0.155235102E+02  -.673481219E-06  -.263767961E-05
 0.157831960E+02  -.638881881E-06  -.246499267E-05
 0.160447225E+02  -.581389083E-06  -.228746691E-05
 0.163080792E+02  -.511811881E-06  -.211081825E-05
 0.165732559E+02  -.437977189E-06  -.193918100E-05
 0.168402421E+02  -.365314546E-06  -.177540858E-05
 0.171090273E+02  -.297368722E-06  -.162133563E-05
 0.173796008E+02  -.236239448E-06  -.147800294E-05
 0.176519521E+02  -.182950799E-06  -.134584709E-05
 0.179260703E+02  -.137754839E-06  -.122485789E-05
 0.182019448E+02  -.100375683E-06  -.111470680E-05
 0.184795645E+02  -.702010157E-07  -.101484986E-05
 0.187589187E+02  -.464283214E-07  -.924608478E-06
 0.190399962E+02  -.281729255E-07  -.843231567E-06
 0.193227860E+02  -.145446189E-07  -.769941881E-06
 0.196072769E+02  -.469914978E-08  -.703969578E-06
 0.198934579E+02  0.213001094E-08  -.644575411E-06
 0.201813175E+02  0.661488317E-08  -.591065777E-06
 0.204708444E+02  0.932712439E-08  -.542801478E-06
 0.207620272E+02  0.107397971E-07  -.499201763E-06
 0.210548545E+02  0.112341675E-07  -.459744930E-06
 0.213493148E+02  0.111094500E-07  -.423966535E-06
 0.216453963E+02  0.105939672E-07  -.391456021E-06
 0.219430875E+02  0.985661792E-08  -.361852411E-06
 0.222423766E+02  0.901787849E-08  -.334839533E-06
 0.225432518E+02  0.815986464E-08  -.310141129E-06
 0.228457013E+02  0.733518241E-08  -.287516071E-06
 0.231497132E+02  0.657442621E-08  -.266753874E-06
 0.234552754E+02  0.589237222E-08  -.247670561E-06
 0.237623760E+02  0.529295775E-08  -.230104978E-06
 0.240710028E+02  0.477313065E-08  -.213915532E-06
 0.243811437E+02  0.432573328E-08  -.198977360E-06
 0.246927865E+02  0.394161317E-08  -.185179888E-06
 0.250059189E+02  0.361106112E-08  -.172424764E-06
 0.253205285E+02  0.332473776E-08  -.160624106E-06
 0.256366029E+02  0.307423819E-08  -.149699036E-06
 0.259541298E+02  0.285237124E-08  -.139578459E-06
 0.262730965E+02  0.265322734E-08  -.130198044E-06
 0.265934905E+02  0.247212592E-08  -.121499372E-06
 0.269152993E+02  0.230548651E-08  -.113429224E-06
 0.272385101E+02  0.215066297E-08  -.105938990E-06
 0.275631101E+02  0.200576942E-08  -.989841734E-07
 0.278890867E+02  0.186950954E-08  -.925239690E-07
 0.282164269E+02  0.174102876E-08  -.865208995E-07
 0.285451178E+02  0.161977692E-08  -.809405035E-07
 0.288751466E+02  0.150539770E-08  -.757510608E-07
 0.292065001E+02  0.139766075E-08  -.709233604E-07
 0.295391654E+02  0.129639976E-08  -.664304845E-07
 0.298731294E+02  0.120146337E-08  -.622476188E-07
 0.302083788E+02  0.111269553E-08  -.583518800E-07
 0.305449005E+02  0.102991492E-08  -.547221581E-07
 0.308826812E+02  0.952907164E-09  -.513389750E-07
 0.312217076E+02  0.881433959E-09  -.481843571E-07
 0.315619663E+02  0.815233701E-09  -.452417152E-07
 0.319034440E+02  0.754023000E-09  -.424957327E-07
 0.322461272E+02  0.697502773E-09  -.399322645E-07
 0.325900024E+02  0.645367762E-09  -.375382443E-07
 0.329350560E+02  0.597315311E-09  -.353016015E-07
 0.332812745E+02  0.553047511E-09  -.332111803E-07
 0.336286441E+02  0.512276735E-09  -.312566665E-07
 0.339771513E+02  0.474727444E-09  -.294285197E-07
 0.343267822E+02  0.440135855E-09  -.277179121E-07
 0.346775232E+02  0.408259485E-09  -.261166749E-07
 0.350293604E+02  0.378875735E-09  -.246172465E-07
 0.353822798E+02  0.351776208E-09  -.232126237E-07
 0.357362677E+02  0.326768814E-09  -.218963182E-07
 0.360913101E+02  0.303678065E-09  -.206623173E-07
 0.364473930E+02  0.282343349E-09  -.195050468E-07
 0.368045023E+02  0.262620691E-09  -.184193368E-07
 0.371626240E+02  0.244379531E-09  -.174003881E-07
 0.375217440E+02  0.227497649E-09  -.164437454E-07
 0.378818482E+02  0.211864898E-09  -.155452714E-07
 0.382429222E+02  0.197382774E-09  -.147011258E-07
 0.386049520E+02  0.183961458E-09  -.139077417E-07
 0.389679232E+02  0.171517846E-09  -.131618031E-07
 0.393318216E+02  0.159974910E-09  -.124602247E-07
 0.396966328E+02  0.149262319E-09  -.118001349E-07
 0.400623425E+02  0.139316736E-09  -.111788619E-07
 0.404289361E+02  0.130081795E-09  -.105939204E-07
 0.407963994E+02  0.121503955E-09  -.100429971E-07
 0.411647177E+02  0.113532098E-09  -.952393708E-08
 0.415338767E+02  0.106121264E-09  -.903473187E-08
 0.419038617E+02  0.992307186E-10  -.857350776E-08
 0.422746582E+02  0.928221306E-10  -.813851682E-08
 0.426462516E+02  0.868601806E-10  -.772812958E-08
 0.430186272E+02  0.813107858E-10  -.734082720E-08
 0.433917703E+02  0.761433525E-10  -.697519245E-08
