0.626	3.50E-004	1.57E-005
0.7031	2.33E-004	1.19E-005
0.0017	9.36E-001	1.50E-003
0.0082	7.45E-001	2.80E-003
0.0097	7.10E-001	1.50E-003
0.0117	6.66E-001	1.60E-003
0.0136	6.22E-001	1.60E-003
0.0155	5.91E-001	1.50E-003
0.0175	5.55E-001	1.40E-003
0.0195	5.25E-001	2.00E-003
0.0214	4.97E-001	2.20E-003
0.0234	4.66E-001	2.80E-003
0.0273	4.20E-001	1.80E-003
0.0389	3.10E-001	1.30E-003
0.0603	1.91E-001	1.10E-003
0.0817	1.24E-001	7.00E-004
0.1285	5.39E-002	4.00E-004
0.1557	3.55E-002	4.00E-004
